FlightDate,Day_Of_Week,Airline,Tail_Number,Dep_Airport,Dep_CityName,DepTime_label,Dep_Delay,Dep_Delay_Tag,Dep_Delay_Type,Arr_Airport,Arr_CityName,Arr_Delay,Arr_Delay_Type,Flight_Duration,Distance_type,Delay_Carrier,Delay_Weather,Delay_NAS,Delay_Security,Delay_LastAircraft,Manufacturer,Model,Aicraft_age
1/7/2023,6,Endeavor Air,N136EV,PIT,"Pittsburgh, PA",Afternoon,-10,0,Low <5min,MSP,"Minneapolis, MN",-31,Low <5min,129,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,15
1/8/2023,7,Endeavor Air,N936XJ,PIT,"Pittsburgh, PA",Afternoon,-5,0,Low <5min,MSP,"Minneapolis, MN",-34,Low <5min,121,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,16
1/9/2023,1,Endeavor Air,N228PQ,BWI,"Baltimore, MD",Afternoon,-2,0,Low <5min,JFK,"New York, NY",11,Low <5min,116,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,15
1/10/2023,2,Endeavor Air,N305PQ,BWI,"Baltimore, MD",Afternoon,-2,0,Low <5min,JFK,"New York, NY",-35,Low <5min,70,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,10
1/12/2023,4,Endeavor Air,N301PQ,BWI,"Baltimore, MD",Afternoon,108,1,Hight >60min,JFK,"New York, NY",69,Hight >60min,64,Short Haul >1500Mi,0,65,0,0,4,CANADAIR REGIONAL JET,CRJ,11
1/13/2023,5,Endeavor Air,N331PQ,BWI,"Baltimore, MD",Afternoon,20,1,Medium >15min,JFK,"New York, NY",-1,Low <5min,82,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,10
1/14/2023,6,Endeavor Air,N228PQ,BWI,"Baltimore, MD",Afternoon,-8,0,Low <5min,JFK,"New York, NY",-14,Low <5min,97,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,15
1/15/2023,7,Endeavor Air,N272PQ,BWI,"Baltimore, MD",Afternoon,-2,0,Low <5min,JFK,"New York, NY",41,Medium >15min,146,Short Haul >1500Mi,0,0,41,0,0,CANADAIR REGIONAL JET,CRJ,11
1/16/2023,1,Endeavor Air,N335PQ,BWI,"Baltimore, MD",Afternoon,-3,0,Low <5min,JFK,"New York, NY",-36,Low <5min,70,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,10
1/17/2023,2,Endeavor Air,N330PQ,BWI,"Baltimore, MD",Afternoon,13,1,Low <5min,JFK,"New York, NY",13,Low <5min,103,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,10
1/18/2023,3,Endeavor Air,N913XJ,BWI,"Baltimore, MD",Afternoon,-5,0,Low <5min,JFK,"New York, NY",-33,Low <5min,75,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,16
1/19/2023,4,Endeavor Air,N232PQ,BWI,"Baltimore, MD",Afternoon,0,0,Low <5min,JFK,"New York, NY",-14,Low <5min,89,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,15
1/20/2023,5,Endeavor Air,N600LR,BWI,"Baltimore, MD",Afternoon,80,1,Hight >60min,JFK,"New York, NY",109,Hight >60min,132,Short Haul >1500Mi,0,0,29,0,80,CANADAIR REGIONAL JET,CRJ,17
1/21/2023,6,Endeavor Air,N195PQ,BWI,"Baltimore, MD",Afternoon,-4,0,Low <5min,JFK,"New York, NY",-24,Low <5min,83,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,16
1/22/2023,7,Endeavor Air,N181PQ,BWI,"Baltimore, MD",Afternoon,10,1,Low <5min,JFK,"New York, NY",4,Low <5min,97,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,16
1/23/2023,1,Endeavor Air,N341PQ,BWI,"Baltimore, MD",Afternoon,-5,0,Low <5min,JFK,"New York, NY",-10,Low <5min,98,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,10
1/24/2023,2,Endeavor Air,N906XJ,BWI,"Baltimore, MD",Afternoon,-4,0,Low <5min,JFK,"New York, NY",-21,Low <5min,86,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,17
1/26/2023,4,Endeavor Air,N186PQ,BWI,"Baltimore, MD",Afternoon,-4,0,Low <5min,JFK,"New York, NY",-23,Low <5min,84,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,16
1/27/2023,5,Endeavor Air,N186PQ,BWI,"Baltimore, MD",Afternoon,19,1,Medium >15min,JFK,"New York, NY",5,Low <5min,89,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,16
1/28/2023,6,Endeavor Air,N314PQ,BWI,"Baltimore, MD",Afternoon,-5,0,Low <5min,JFK,"New York, NY",-36,Low <5min,72,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,10
1/29/2023,7,Endeavor Air,N279PQ,BWI,"Baltimore, MD",Afternoon,21,1,Medium >15min,JFK,"New York, NY",-20,Low <5min,62,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,11
1/30/2023,1,Endeavor Air,N931XJ,BWI,"Baltimore, MD",Afternoon,-5,0,Low <5min,JFK,"New York, NY",-41,Low <5min,67,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,16
1/31/2023,2,Endeavor Air,N908XJ,BWI,"Baltimore, MD",Afternoon,17,1,Medium >15min,JFK,"New York, NY",-21,Low <5min,65,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,17
1/9/2023,1,Endeavor Air,N228PQ,JFK,"New York, NY",Afternoon,-4,0,Low <5min,BWI,"Baltimore, MD",-26,Low <5min,60,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,15
1/10/2023,2,Endeavor Air,N305PQ,JFK,"New York, NY",Afternoon,-1,0,Low <5min,BWI,"Baltimore, MD",-21,Low <5min,62,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,10
1/12/2023,4,Endeavor Air,N301PQ,JFK,"New York, NY",Afternoon,10,1,Low <5min,BWI,"Baltimore, MD",6,Low <5min,78,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,11
1/13/2023,5,Endeavor Air,N331PQ,JFK,"New York, NY",Afternoon,20,1,Medium >15min,BWI,"Baltimore, MD",21,Medium >15min,83,Short Haul >1500Mi,2,0,1,0,18,CANADAIR REGIONAL JET,CRJ,10
1/14/2023,6,Endeavor Air,N228PQ,JFK,"New York, NY",Afternoon,-6,0,Low <5min,BWI,"Baltimore, MD",-26,Low <5min,62,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,15
1/15/2023,7,Endeavor Air,N272PQ,JFK,"New York, NY",Afternoon,-1,0,Low <5min,BWI,"Baltimore, MD",-17,Low <5min,66,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,11
1/16/2023,1,Endeavor Air,N335PQ,JFK,"New York, NY",Afternoon,-4,0,Low <5min,BWI,"Baltimore, MD",-4,Low <5min,82,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,10
1/17/2023,2,Endeavor Air,N330PQ,JFK,"New York, NY",Afternoon,0,0,Low <5min,BWI,"Baltimore, MD",10,Low <5min,92,Short Haul >1500Mi,0,0,0,0,0,CANADAIR REGIONAL JET,CRJ,10
